"V1","V2"
"FP","M2"
"FP","OA"
"FP","AU"
"FP","TT"
"FP","DLS"
"M1","M2"
"M1","S1"
"M1","SS"
"M1","GA"
"M1","VA"
"M1","VALCT"
"M1","VPLT"
"M1","VPMT"
"M1","SMT"
"M1","Rh"
"M1","PCn"
"M2","OA"
"M2","AU"
"M2","DLS"
"M2","VALCT"
"M2","SMT"
"M2","subGn"
"S1","SS"
"S1","GA"
"S1","VA"
"S1","VALCT"
"S1","VMT"
"S1","VPLT"
"S1","VPMT"
"S1","PTTn"
"S1","PCT"
"S1","EnT"
"S1","IMDT"
"S1","Rh"
"S1","CMT"
"S1","PCn"
"S1","CLT"
"SS","GA"
"SS","VA"
"SS","VMT"
"SS","VPLT"
"SS","VPMT"
"SS","PTTn"
"SS","PCT"
"SS","EnT"
"SS","IMDT"
"SS","Rh"
"SS","PCn"
"SS","VTA"
"GA","VA"
"GA","VPLT"
"GA","Rh"
"GA","PCn"
"VA","IAn"
"VA","Rh"
"AuA","ViA"
"AuA","STN"
"AuA","VTA"
"ViA","RS"
"ViA","AA"
"ViA","SCN"
"dACC","Vacc"
"dACC","PL"
"dACC","DMS"
"dACC","RT"
"Vacc","DMS"
"Vacc","PVT"
"Vacc","PT"
"Vacc","RT"
"Vacc","MHb"
"PL","IL"
"PL","DPA"
"PL","DMS"
"PL","RT"
"IL","DPA"
"IL","DMS"
"OA","AU"
"OA","DLS"
"AU","aOn"
"AU","DPA"
"AU","dEPn"
"AU","DLS"
"RS","SCN"
"AA","XiT"
"AA","SCN"
"TeAA","Ech"
"TeAA","PVH"
"TeAA","DMH"
"Prh","Ech"
"Prh","lpEC"
"Prh","PVH"
"Prh","IPVH"
"Prh","DMH"
"Ech","lpEC"
"Ech","PVH"
"Ech","DMH"
"aOn","TT"
"aOn","dEPn"
"aOn","IAn"
"PC","PAA"
"CCA","LAn"
"CCA","BMe"
"CCA","MAn"
"CCA","PVH"
"CCA","DMH"
"PAA","LAn"
"PAA","BMe"
"CA1","CA3"
"CA1","AVT"
"CA1","MHb"
"CA1","PreCN"
"CA2","IG"
"CA2","Gpe"
"CA2","Gpi"
"CA3","IG"
"CA3","PreCN"
"DG","NACC.SHELL"
"DG","FStr"
"DG","SFn"
"DG","SubInn"
"DG","MGCn"
"DG","MSn"
"DG","DBn"
"DG","AVPO"
"DG","MPA"
"DG","PSN"
"DG","MPO"
