"V1","V2"
"FP","AU"
"FP","M2"
"FP","M1"
"FP","TeAA"
"FP","PC"
"PL","IL"
"PL","M2"
"PL","M1"
"PL","GA"
"PL","VA"
"PL","LSN"
"IL","GA"
"IL","Ech"
"IL","vEPn"
"IL","MSn"
"dACC","M2"
"dACC","M1"
"dACC","IG"
"dACC","DLS"
"Vacc","FStr"
"Vacc","SubInn"
"OA","PC"
"AU","M2"
"AU","M1"
"AU","VA"
"AU","PC"
"AU","Clst"
"AU","dEPn"
"AU","DLS"
"M2","M1"
"M2","GA"
"M2","TeAA"
"M2","VA"
"M2","DLS"
"M1","SS"
"M1","GA"
"M1","VA"
"M1","DLS"
"S1","SS"
"SS","VA"
"GA","VA"
"GA","MAn"
"GA","LSN"
"GA","VMHn"
"RS","STN"
"AA","SMT"
"AA","Rh"
"AA","CLT"
"AA","LHb"
"ViA","SMT"
"ViA","CLT"
"ViA","LHb"
"TeAA","DLS"
"Prh","Gpe"
"Prh","VPMT"
"lpEC","aOn"
"lpEC","Clst"
"lpEC","aAA"
"lpEC","NACC.SHELL"
"Ech","MSn"
"Ech","AVPO"
"VA","DLS"
"aOn","Clst"
"aOn","NACC.SHELL"
"TT","Clst"
"TT","MePO"
"TT","SMN"
"DPA","Clst"
"DPA","dEPn"
"DPA","vEPn"
"DPA","BLA"
"DPA","PSN"
"PC","Clst"
"PC","dEPn"
"PC","BLA"
"PC","BMe"
"PC","CA"
"PAA","LAn"
"PAA","Gpi"
"PAA","AMn"
"FC","VPLT"
"FC","FF"
"IG","SFn"
"CA1","IGLLGC"
"CA1","vlLGC"
"CA1","PHn"
"CA3","MGC"
"CA3","PlnT"
"CA3","AVT"
"CA3","FF"
"CA3","PAG"
"DG","NACC.CORE"
"DG","TnS"
"DG","PT"
"DG","PAG"
"proSub","Sub"
"proSub","NACC.SHELL"
"proSub","LHA"
"Sub","PCT"
"Clst","dEPn"
"Clst","vEPn"
"Clst","NACC.SHELL"
"Clst","FStr"
"dEPn","vEPn"
"dEPn","BLA"
"dEPn","DLS"
"vEPn","BLA"
"LAn","MAn"
"BLA","PSN"
"BMe","CA"
"BMe","NACC.SHELL"
"CCA","PCT"
"aAA","SubInn"
"CA","NACC.SHELL"
"CA","LHA"
"IAn","PSTN"
"MAn","SON"
"LSN","SFn"
"LSN","BNST"
"LSN","SON"
"SFn","TnS"
"SFn","MGC"
"DLS","STN"
"DMS","reSN"
"DMS","cSN"
"NACC.SHELL","LHA"
"NACC.CORE","TnS"
"NACC.CORE","PT"
"NACC.CORE","RT"
"NACC.CORE","PAG"
"FStr","PCT"
"OT","DBn"
"OT","AHN"
"MGCn","LPO"
"Gpe","SubInn"
"Gpe","VPMT"
"Gpe","PCT"
"Gpi","dLGC"
"Gpi","LPT"
"Gpi","EnT"
"Gpi","SMT"
"Gpi","Rh"
"Gpi","CLT"
"Gpi","ZI"
"SubInn","VPMT"
"MSn","MPA"
"MSn","LPO"
"DBn","SPZ"
"DBn","AHN"
"DBn","MPO"
"DBn","LPO"
"TnS","PT"
"VALCT","VMT"
"VALCT","IADT"
"VALCT","MDT"
"VMT","IADT"
"VMT","SMT"
"VMT","Rh"
"VMT","LHb"
"VMT","PSTN"
"PTTn","IPVH"
"PTTn","ADPO"
"PTTn","PSN"
"PTTn","SCN"
"dLGC","ZI"
"LPT","EnT"
"LPT","IMDT"
"LPT","RE"
"LPT","Rh"
"LPT","CMT"
"LPT","CLT"
"LPT","LHb"
"LPT","ZI"
"LPT","APTN"
"PlnT","IMDT"
"PlnT","ZI"
"EnT","RE"
"EnT","Rh"
"EnT","CLT"
"EnT","LHb"
"EnT","APTN"
"AVT","AMn"
"AVT","SMN"
"AVT","PSTN"
"AMn","ZI"
"IADT","IMDT"
"IADT","MDT"
"IMDT","MDT"
"IMDT","RE"
"IMDT","ZI"
"MDT","SMT"
"MDT","CMT"
"MDT","LHb"
"MDT","VTA"
"SMT","CMT"
"SMT","PCn"
"SMT","CLT"
"SMT","LHb"
"pRE","XiT"
"PVT","IPVH"
"RE","XiT"
"RE","ZI"
"XiT","PSTN"
"Rh","CMT"
"Rh","CLT"
"Rh","LHb"
"CMT","LHb"
"PCn","PSTN"
"CLT","LHb"
"RT","PVH"
"RT","FF"
"RT","PAG"
"IGLLGC","vlLGC"
"vlLGC","IPVH"
"vlLGC","PHn"
"subGn","AVPV"
"PVH","ArH"
"PVH","FF"
"ArH","SPZ"
"ADPO","MePO"
"ADPO","PSN"
"AVPO","LPO"
"MePO","PSN"
"MePO","SPZ"
"MePO","LPO"
"MPA","AHN"
"MPA","MPO"
"MPA","LPO"
"SPZ","LPO"
"AHN","MPO"
"MPO","LPO"
"VMHn","TN"
"PHn","VTA"
"ZI","APTN"
"FF","PAG"
"FF","APTN"
"reSN","cSN"
