id;name;tot_objects;tot_area;avrg_density;densities_stdev;slices_count;ideal_count
997;root;509.0;7498329.305663878;6.788178796248997e-05;4.332249394898408e-05;26;30
184;Frontal pole, cerebral cortex;0;0;0;0;0;0
68;Frontal pole, layer 1;0;0;0;0;0;0
667;Frontal pole, layer 2/3;0;0;0;0;0;0
526157192;Frontal pole, layer 5;0;0;0;0;0;0
526157196;Frontal pole, layer 6a;70.0;233181.0835577149;0.00030019587752140375;0.00010882709636840138;4;5
526322264;Frontal pole, layer 6b;2.0;11188.5982662141;0.00017875340166956791;5.7645898418062365e-05;2;1
985;Primary motor area;0;0;0;0;0;0
320;Primary motor area, Layer 1;1124.0;5603533.4788653795;0.0002005877192024185;0.00015695802037779346;20;31
943;Primary motor area, Layer 2/3;11848.0;15716843.736050395;0.0007538409237233642;0.0005169719006341261;21;32
648;Primary motor area, Layer 5;7857.0;13953082.364006985;0.000563101384699607;0.0004136051358379277;22;33
844;Primary motor area, Layer 6a;7816.0;10875805.829573762;0.0007186593915410423;0.00029705139739605015;22;32
882;Primary motor area, Layer 6b;200.0;804252.6506946094;0.00024867807377105427;0.00034231807427121275;18;27
993;Secondary motor area;0;0;0;0;0;0
656;Secondary motor area, layer 1;1255.0;6141521.833281512;0.00020434674565496637;0.00033053639858274795;20;31
962;Secondary motor area, layer 2/3;8112.0;10604464.028945865;0.0007649608672213462;0.00047376712900311737;20;32
767;Secondary motor area, layer 5;10509.0;14378744.836161286;0.0007308704702493075;0.0003722671908361758;21;33
1021;Secondary motor area, layer 6a;7835.0;10546096.65673543;0.0007429289010921452;0.00036822883915947787;23;35
1085;Secondary motor area, layer 6b;167.0;241754.33043157434;0.0006907839032371225;0.0004593584098676261;21;31
353;Primary somatosensory area, nose;0;0;0;0;0;0
558;Primary somatosensory area, nose, layer 1;427.0;2696991.6973242485;0.00015832455117442042;0.00010415333576775215;12;12
838;Primary somatosensory area, nose, layer 2/3;2705.0;3801372.922167864;0.0007115850129372155;0.00032316132677875844;12;12
654;Primary somatosensory area, nose, layer 4;6850.0;2955276.2766652657;0.002317888196811684;0.0007438321922202783;12;12
702;Primary somatosensory area, nose, layer 5;1627.0;2774503.0756306667;0.000586411316062488;0.00023766210112436908;12;12
889;Primary somatosensory area, nose, layer 6a;3165.0;4062669.316875813;0.0007790444540620108;0.0001544194532017393;10;12
929;Primary somatosensory area, nose, layer 6b;69.0;274013.6489626153;0.0002518122738090829;0.00016054159365031163;9;10
329;Primary somatosensory area, barrel field;0;0;0;0;0;0
981;Primary somatosensory area, barrel field, layer 1;758.0;3430166.7485025264;0.0002209805107378271;8.556850140867319e-05;14;23
201;Primary somatosensory area, barrel field, layer 2/3;6790.0;6021283.325815869;0.0011276665841131088;0.0003169850087738193;14;22
1047;Primary somatosensory area, barrel field, layer 4;12330.0;4998030.687452237;0.0024669716476441363;0.00045927690175844406;13;21
1070;Primary somatosensory area, barrel field, layer 5;3946.0;4738216.767773493;0.0008328027596454269;0.0001851248731313709;12;20
1038;Primary somatosensory area, barrel field, layer 6a;6043.0;5044758.975344106;0.0011978768519040701;0.0003598219343370717;11;19
1062;Primary somatosensory area, barrel field, layer 6b;296.0;537002.0143142754;0.0005512083606948423;0.0004629667267812375;11;18
337;Primary somatosensory area, lower limb;0;0;0;0;0;0
1030;Primary somatosensory area, lower limb, layer 1;422.0;1548534.6864694103;0.00027251569092206845;0.0002374774496590939;13;16
113;Primary somatosensory area, lower limb, layer 2/3;3895.0;3179958.449666809;0.0012248587714748637;0.00039822823360387424;13;15
1094;Primary somatosensory area, lower limb, layer 4;2429.0;1305042.9316004387;0.0018612414512840564;0.0005694000677044284;13;15
1128;Primary somatosensory area, lower limb, layer 5;2251.0;2621486.153405634;0.0008586732365821094;0.00032199632110865444;13;15
478;Primary somatosensory area, lower limb, layer 6a;2445.0;2506580.9526640303;0.000975432290507681;0.00030998206338106254;10;15
510;Primary somatosensory area, lower limb, layer 6b;72.0;244983.79777175662;0.0002938969868818837;0.00024277530871326982;9;13
345;Primary somatosensory area, mouth;0;0;0;0;0;0
878;Primary somatosensory area, mouth, layer 1;540.0;3014542.9030374167;0.00017913163533214357;0.00011676782705594119;11;18
657;Primary somatosensory area, mouth, layer 2/3;6918.0;5686654.619177412;0.001216532471775243;0.0003395673194419209;12;18
950;Primary somatosensory area, mouth, layer 4;7239.0;4030177.136563558;0.0017961989646372053;0.0003901829817598052;12;17
974;Primary somatosensory area, mouth, layer 5;3211.0;5695091.620219928;0.0005638188486028255;0.00013835766954933427;12;18
1102;Primary somatosensory area, mouth, layer 6a;6245.0;8644900.316825703;0.0007223912099767375;0.0002117995176307036;13;16
2;Primary somatosensory area, mouth, layer 6b;150.0;643331.3726886626;0.00023316133235210936;0.00020426989030236135;13;14
369;Primary somatosensory area, upper limb;0;0;0;0;0;0
450;Primary somatosensory area, upper limb, layer 1;752.0;2507393.106426607;0.00029991308425973435;0.00022046492045703077;18;24
854;Primary somatosensory area, upper limb, layer 2/3;7652.0;5275823.109238633;0.0014503897954046983;0.0004284791936198558;18;25
577;Primary somatosensory area, upper limb, layer 4;4296.0;2770757.6849974683;0.001550478420852571;0.000525205951691358;17;23
625;Primary somatosensory area, upper limb, layer 5;3303.0;4211534.350325912;0.0007842747381947378;0.00023446566248640325;17;24
945;Primary somatosensory area, upper limb, layer 6a;4373.0;5078936.7987219505;0.0008610069731721035;0.00031467515579833375;17;23
1026;Primary somatosensory area, upper limb, layer 6b;76.0;377078.9322135005;0.00020154931370434964;0.00018866270218788746;16;21
361;Primary somatosensory area, trunk;0;0;0;0;0;0
1006;Primary somatosensory area, trunk, layer 1;80.0;791020.8043152094;0.00010113514026885347;7.570213875723799e-05;6;9
670;Primary somatosensory area, trunk, layer 2/3;1005.0;1478591.9959234663;0.0006797006900962692;0.000385507456197207;7;11
1086;Primary somatosensory area, trunk, layer 4;699.0;456922.9968826595;0.0015297982477767633;0.0006657428699863324;6;10
1111;Primary somatosensory area, trunk, layer 5;958.0;1125613.7638349128;0.0008510912275416209;0.0002592454721795199;6;11
9;Primary somatosensory area, trunk, layer 6a;654.0;721009.1301452366;0.0009070620227350815;0.00032902872808272365;6;10
461;Primary somatosensory area, trunk, layer 6b;40.0;101892.4608329579;0.00039257075227161156;0.00026258929426708713;5;8
182305689;Primary somatosensory area, unassigned;0;0;0;0;0;0
182305693;Primary somatosensory area, unassigned, layer 1;338.0;994992.948244612;0.00033970089998758973;0.00018382613710312993;15;20
182305697;Primary somatosensory area, unassigned, layer 2/3;2188.0;1771587.2577398198;0.0012350506532720477;0.0003555150610624127;15;20
182305701;Primary somatosensory area, unassigned, layer 4;1839.0;988723.5158108969;0.0018599739670313727;0.0004796002484217012;14;19
182305705;Primary somatosensory area, unassigned, layer 5;966.0;1219525.2009501467;0.0007921115523052561;0.00026333237510508455;15;19
182305709;Primary somatosensory area, unassigned, layer 6a;1305.0;1384958.0648677184;0.0009422667971716852;0.0003360277911400387;14;19
182305713;Primary somatosensory area, unassigned, layer 6b;39.0;115725.73649919771;0.0003370036880281196;0.0002803247520666476;11;17
378;Supplemental somatosensory area;0;0;0;0;0;0
873;Supplemental somatosensory area, layer 1;1147.0;5577529.490426606;0.00020564660428398201;0.00012479232039708786;24;37
806;Supplemental somatosensory area, layer 2/3;9026.0;9954152.938493926;0.0009067572153824716;0.0002809965178955793;24;36
1035;Supplemental somatosensory area, layer 4;8703.0;5462294.961790544;0.0015932863495799119;0.0005912469175209311;24;35
1090;Supplemental somatosensory area, layer 5;7084.0;10475979.363719728;0.0006762136268169079;0.000218753049908641;23;36
862;Supplemental somatosensory area, layer 6a;8526.0;10189002.366965588;0.0008367845734968799;0.0003228134777155805;23;34
893;Supplemental somatosensory area, layer 6b;327.0;1008662.945746888;0.00032419154622346635;0.0002892612616453037;21;32
1057;Gustatory areas;0;0;0;0;0;0
36;Gustatory areas, layer 1;146.0;796704.9689470569;0.00018325478777037987;0.00019626093254900017;16;22
180;Gustatory areas, layer 2/3;1093.0;1654750.5878356516;0.0006605225029287349;0.0003481024531676199;16;22
148;Gustatory areas, layer 4;410.0;685388.6348020514;0.000598200756740609;0.00028971341288087314;15;21
187;Gustatory areas, layer 5;1961.0;2690587.147393309;0.0007288371989362446;0.0002622164524261288;15;21
638;Gustatory areas, layer 6a;1564.0;2470095.7835815162;0.0006331738268595713;0.00033009560582849526;15;19
662;Gustatory areas, layer 6b;47.0;214141.1099803687;0.00021948144382136016;0.00012705542894673498;14;17
677;Visceral area;0;0;0;0;0;0
897;Visceral area, layer 1;227.0;1289706.6988942022;0.00017600901057165195;0.00014716737942432274;19;23
1106;Visceral area, layer 2/3;1039.0;2259363.4402032425;0.00045986404024778594;0.00025376610238763916;18;22
1010;Visceral area, layer 4;520.0;855450.1647898424;0.0006078670872987065;0.0004907916734370099;18;21
1058;Visceral area, layer 5;1977.0;3481212.461702108;0.0005679055851228809;0.00021228816462320557;18;22
857;Visceral area, layer 6a;1834.0;2584833.3444818854;0.0007095234994222092;0.0002990040496139958;18;21
849;Visceral area, layer 6b;75.0;249136.35065679954;0.00030103997189602033;0.00030111909730142514;16;20
1011;Dorsal auditory area;0;0;0;0;0;0
527;Dorsal auditory area, layer 1;157.0;650792.2044491412;0.0002412444385883381;0.0001741773000579752;6;13
600;Dorsal auditory area, layer 2/3;835.0;1086042.6240047363;0.0007688464352540536;0.00025244607475456227;6;13
678;Dorsal auditory area, layer 4;859.0;442857.18414590694;0.001939677238513506;0.0006760124893055416;6;12
252;Dorsal auditory area, layer 5;883.0;975815.6912064182;0.0009048839939316117;0.0003328103277755766;6;12
156;Dorsal auditory area, layer 6a;596.0;485847.0315329269;0.00122672355971698;0.000381968828481721;4;11
243;Dorsal auditory area, layer 6b;47.0;70582.82475664341;0.000665884372891668;0.0002949388227834247;4;10
1002;Primary auditory area;0;0;0;0;0;0
735;Primary auditory area, layer 1;223.0;664743.32538027;0.0003354678286877595;0.0008922165428820371;5;8
251;Primary auditory area, layer 2/3;582.0;768745.2645688662;0.0007570778342633458;0.0007961979636240501;5;9
816;Primary auditory area, layer 4;361.0;361894.87822829396;0.0009975272426272653;0.000849788517876771;4;10
847;Primary auditory area, layer 5;958.0;1123606.8252088432;0.0008526114104210233;0.0005514136479203204;3;11
954;Primary auditory area, layer 6a;617.0;500094.6943597583;0.0012337663385729551;0.0005584230357297572;3;10
1005;Primary auditory area, layer 6b;60.0;88812.81570103111;0.0006755781755864701;0.0003447055376032506;3;9
1027;Posterior auditory area;0;0;0;0;0;0
696;Posterior auditory area, layer 1;24.0;87911.2875706152;0.00027300248538302744;0.00017152552407274224;2;4
643;Posterior auditory area, layer 2/3;183.0;128465.211196729;0.0014245101712381692;0.0003266851535006298;2;4
759;Posterior auditory area, layer 4;76.0;58898.903989648796;0.001290346591395939;0.00023628507998959647;2;4
791;Posterior auditory area, layer 5;182.0;154444.4698345823;0.0011784170724593185;0.0005210937090013945;2;4
249;Posterior auditory area, layer 6a;75.0;60310.4594199833;0.001243565390170937;0.0003064648107484543;2;4
456;Posterior auditory area, layer 6b;5.0;10345.2890146696;0.0004833117753317485;7.619136004075942e-05;2;4
1018;Ventral auditory area;0;0;0;0;0;0
959;Ventral auditory area, layer 1;282.0;660839.8184937014;0.00042672973405685874;0.0007744630965178737;7;8
755;Ventral auditory area, layer 2/3;1059.0;1094114.0305596094;0.0009679064251267763;0.0007620703066773713;7;8
990;Ventral auditory area, layer 4;1057.0;619287.5646517185;0.0017067999752174046;0.0005938330999309555;7;8
1023;Ventral auditory area, layer 5;1234.0;1257396.1141878413;0.0009813932030456822;0.0005200265502542405;7;12
520;Ventral auditory area, layer 6a;840.0;646705.3262443644;0.001298891420731236;0.0002774930867443288;5;12
598;Ventral auditory area, layer 6b;80.0;86798.2109540372;0.000921677982998554;0.0005334230801566724;5;12
402;Anterolateral visual area;0;0;0;0;0;0
1074;Anterolateral visual area, layer 1;9.0;85952.4369380649;0.0001047090730712518;5.719402098308336e-05;2;6
905;Anterolateral visual area, layer 2/3;169.0;159438.07355667872;0.0010599726666913228;7.288134592144493e-05;2;5
1114;Anterolateral visual area, layer 4;207.0;89839.85927950601;0.002304099779987302;0.0005453757620675137;2;5
233;Anterolateral visual area, layer 5;217.0;144743.7110857266;0.0014992015775488756;0.0004668117945464768;2;5
601;Anterolateral visual area, layer 6a;71.0;68817.2556634272;0.001031717979967818;0.0;1;5
