node1, node2, weight
olfactory peduncle,prefrontal&other cortexes,0.38461538461538464
prefrontal&other cortexes,sensory-motor cortex,0.6428571428571429
prefrontal&other cortexes,basal ganglia,0.3333333333333333
prefrontal&other cortexes,medial thalamus,0.19230769230769232
prefrontal&other cortexes,reticular nucleus,0.2727272727272727
sensory-motor cortex,medial thalamus,0.8
sensory-motor cortex,motory thalamus,0.8333333333333334
sensory-motor cortex,ventral thalamus and habenula,0.6428571428571429
temporal cortex,hypothalamic neurosecretory,0.5
temporal cortex,preoptic and hypothalamic nuclei,0.16666666666666666
HPC,septum,0.21428571428571427
HPC,basal ganglia,0.3157894736842105
HPC,preoptic and hypothalamic nuclei,0.23809523809523808
claustro-endopiriform complex,amygdala,0.42857142857142855
amygdala,septum,0.3333333333333333
amygdala,basal ganglia,0.15
amygdala,preoptic and hypothalamic nuclei,0.5
septum,basal ganglia,0.35294117647058826
septum,preoptic and hypothalamic nuclei,1.0
basal ganglia,ventral thalamus and habenula,0.14285714285714285
basal ganglia,preoptic and hypothalamic nuclei,0.8333333333333334
basal ganglia,lateral hypothalamic complex,0.29411764705882354
medial thalamus,motory thalamus,0.7222222222222222
medial thalamus,ventral thalamus and habenula,0.7692307692307693
medial thalamus,lateral hypothalamic complex,0.18181818181818182
motory thalamus,ventral thalamus and habenula,0.25
ventral thalamus and habenula,preoptic and hypothalamic nuclei,0.17391304347826086
ventral thalamus and habenula,lateral hypothalamic complex,0.1875
preoptic and hypothalamic nuclei,lateral hypothalamic complex,0.3684210526315789
